Close,SMMA,MI,MD,Signal,Difference,Action
234.0,236.8193401641102,234.74102361433904,-1.1024272090847944,-0.1065206420538857,-0.9959065670309087,0
234.57,236.5944061476992,234.52350428903821,-1.3199465343856218,-0.32700608387084457,-0.9929404505147772,0
234.8007,236.41503553292932,234.45569368981904,-1.3877571336047936,-0.5909953907479689,-0.7967617428568247,0
232.825,236.05603197963637,233.76858101795105,-2.0748698054727868,-0.8685468174689277,-1.206322988003859,0
232.6301,235.71343878167272,233.21299051800798,-2.8430414616283883,-1.283520778563485,-1.5595206830649033,0
229.5625,235.09834490350545,231.80771454637636,-3.9057242352963613,-1.745608428835277,-2.1601158064610844,0
231.51,234.73951041315496,231.43657229937085,-3.6617726041345975,-2.30626783407759,-1.3555047700570073,0
231.1149,234.3770493718395,231.05993749602436,-4.038407407481088,-2.7746330480273853,-1.263774359453703,0
237.21,234.66034443465554,232.82453609887426,-2.2738088046311873,-3.3047631028026445,1.0309542981714572,-1
239.29,235.12330999118998,234.83837363966225,-0.25997126384319813,-3.3445509026343245,3.0845796387911264,0
239.0,235.510978992071,236.2377731954075,0.0,-2.8279368630772863,2.8279368630772863,0
238.99,235.8588810928639,237.26256882543836,0.7610494487148856,-2.0467920160180144,2.8078414647329,0
239.28,236.20099298357755,238.10156197197347,1.6000425952499882,-1.1622276054481175,2.7622702006981057,0
239.96,236.57689368521977,238.92695202967138,2.4254326529479044,-0.034537604901902344,2.4599702578498066,0
241.87,237.10620431669776,240.14504117475278,3.6435217980292975,0.905310686613916,2.7382111114153815,0
241.8,237.57558388502798,240.99433915865842,4.492819781934941,1.6860092989884152,2.8068104829465255,0
241.61,237.97902549652522,241.52670097735034,5.0251816006268655,2.5845732553754033,2.440608345251462,0
241.13,238.29412294687273,241.72715141871103,5.225632041987552,3.437399685757799,1.788232356229753,0
241.23,238.58771065218548,241.87465455982976,5.373135183106285,4.162517575105312,1.2106176080009732,0
246.67,239.39593958696696,243.75043254488187,7.248913168158396,4.752058081136989,2.496855087021407,0
246.62,240.11834562827025,245.08610433504458,5.6901647480776205,5.473136355162808,0.21702839291481268,0
249.7874,241.08525106544326,247.07801340663966,7.682073819672695,5.712605348391344,1.9694684712813508,0
250.98,242.07472595889894,248.89525457335571,7.810003507912455,6.24398379220051,1.5660197157119455,0
248.3701,242.70426336300906,249.31789520319518,7.24316924429624,6.7608580853854905,0.4823111589107496,0
251.02,243.53583702670818,250.44548784951104,8.370761890612101,7.134864897623482,1.2358969929886197,0
251.1401,244.29626332403737,251.25901721276344,7.723180186055259,7.359234642114222,0.3639455439410373,0
250.94,244.96063699163363,251.73353134146086,7.4372680174234915,7.76583772970975,-0.3285697122862583,1
250.5,245.5145732924703,251.8794943088877,7.583230984850331,7.7168765692599095,-0.13364558440957808,0
250.58,246.02111596322325,251.95804821902016,7.661784894982787,7.671522064647485,-0.009737169664697731,0
250.25,246.44400436690094,251.85598767228169,7.559724348244316,7.755245194784794,-0.19552084654047786,0
253.37,247.1366039302108,252.7659806063731,8.469717282335722,7.593037686311237,0.8766795960244851,-1
253.0,247.7229435371897,253.27280296369466,6.136199033483848,7.742345105567329,-1.6061460720834813,1
252.71,248.22164918347076,253.50719469169687,6.370590761486056,7.482131308779401,-1.1115405472933446,0
253.64,248.76348426512368,253.94518602393975,6.808582093728944,7.239603264106546,-0.4310211703776021,0
251.33,249.0201358386113,253.464661675311,4.701177410187313,7.068962703855777,-2.3677852936684642,0
249.5312,249.0712422547502,252.47777639481367,3.7142921296899942,6.497253316244377,-2.782961186554383,0
252.36,249.4001180292752,252.65486719399107,3.8913829288673867,5.546168285715231,-1.6547853568478441,0
